conn_type,source,target
inherits,MessageViewFragment,AttachmentViewCallback
inherits,EnhancedNegativeSmtpReplyException,NegativeSmtpReplyException
inherits,DeviceNotifications,BaseNotifications
inherits,WearNotifications,BaseNotifications
inherits,SmtpTransport,Transport
inherits,WebDavTransport,Transport
inherits,ProgressBodyFactory,DefaultBodyFactory
inherits,BinaryTempFileMessageBody,BinaryTempFileBody
inherits,DefaultTrustedSocketFactory,TrustedSocketFactory
inherits,TempFileBody,SizeAware
inherits,BinaryTempFileBody,SizeAware
inherits,DeferredFileBody,SizeAware
inherits,FileBackedBody,SizeAware
inherits,BinaryMemoryBody,SizeAware
inherits,TextBody,SizeAware
inherits,MessageWebView,RigidWebView
inherits,BitcoinUriParser,UriParser
inherits,HttpUriParser,UriParser
inherits,EthereumUriParser,UriParser
inherits,ImapFolderPusher,ImapFolder
inherits,MergeCursorWithUniqueId,MergeCursor
inherits,MessageHeader,Viewable
inherits,Pop3Store,RemoteStore
inherits,ImapStore,RemoteStore
inherits,WebDavStore,RemoteStore
inherits,SearchAccount,BaseAccount
inherits,Account,BaseAccount
inherits,FetchBodyCallback,ImapResponseCallback
inherits,FetchPartCallback,ImapResponseCallback
inherits,LocalBodyPart,MimeBodyPart
inherits,NegativeSmtpReplyException,MessagingException
inherits,UnavailableStorageException,MessagingException
inherits,NegativeImapResponseException,MessagingException
inherits,AuthenticationFailedException,MessagingException
inherits,CertificateValidationException,MessagingException
inherits,LocalMimeMessage,LocalPart
inherits,LocalBodyPart,LocalPart
inherits,ImapPusher,Pusher
inherits,ImapResponse,ImapList
inherits,MessagingControllerPushReceiver,PushReceiver
inherits,AccountSetupIncoming,K9Activity
inherits,WelcomeMessage,K9Activity
inherits,AccountSetupOptions,K9Activity
inherits,EditIdentity,K9Activity
inherits,UpgradeDatabases,K9Activity
inherits,AccountSetupNames,K9Activity
inherits,AccountSetupBasics,K9Activity
inherits,AccountSetupAccountType,K9Activity
inherits,AccountSetupCheckSettings,K9Activity
inherits,AccountSetupOutgoing,K9Activity
inherits,MessageList,K9Activity
inherits,AccountSetupComposition,K9Activity
inherits,MessageCompose,K9Activity
inherits,Message,Part
inherits,BodyPart,Part
inherits,PgpMessageBuilder,MessageBuilder
inherits,SimpleMessageBuilder,MessageBuilder
inherits,SimpleMessagingListener,MessagingListener
inherits,Account,StoreConfig
inherits,DefaultBodyFactory,BodyFactory
inherits,PgpInlineDialog,HighlightDialogFragment
inherits,PgpSignOnlyDialog,HighlightDialogFragment
inherits,PgpEncryptDescriptionDialog,HighlightDialogFragment
inherits,PgpEnabledErrorDialog,HighlightDialogFragment
inherits,LocalSearch,SearchSpecification
inherits,MailService,CoreService
inherits,PushService,CoreService
inherits,RemoteControlService,CoreService
inherits,PollService,CoreService
inherits,SleepService,CoreService
inherits,NotificationActionService,CoreService
inherits,TempFileBody,BinaryAttachmentBody
inherits,MimeMultipart,Multipart
inherits,WebDavStoreSettings,ServerSettings
inherits,ImapStoreSettings,ServerSettings
inherits,MimeMessage,Message
inherits,RemoteStore,Store
inherits,LocalStore,Store
inherits,BootReceiver,CoreReceiver
inherits,RemoteControlReceiver,CoreReceiver
inherits,FolderList,K9ListActivity
inherits,Accounts,K9ListActivity
inherits,ChooseFolder,K9ListActivity
inherits,EmailAddressList,K9ListActivity
inherits,ChooseIdentity,K9ListActivity
inherits,AccountList,K9ListActivity
inherits,WebDavMessage,MimeMessage
inherits,LocalMessage,MimeMessage
inherits,LocalMimeMessage,MimeMessage
inherits,ImapMessage,MimeMessage
inherits,ExtendedAsyncTask,NonConfigurationInstance
inherits,MimeBodyPart,BodyPart
inherits,Prefs,K9PreferenceActivity
inherits,UnreadWidgetConfiguration,K9PreferenceActivity
inherits,FontSizeSettings,K9PreferenceActivity
inherits,BinaryTempFileMessageBody,Body
inherits,FileBackedBody,Body
inherits,BinaryMemoryBody,Body
inherits,BinaryAttachmentBody,Body
inherits,Multipart,Body
inherits,Message,Body
inherits,TextBody,Body
inherits,RawDataBody,Body
inherits,Search,MessageList
inherits,MessageCryptoPresenter,OnCryptoClickListener
inherits,MemorizingMessagingListener,SimpleMessagingListener
inherits,ActivityListener,SimpleMessagingListener
inherits,ManageIdentities,ChooseIdentity
inherits,ChooseAccount,AccountList
inherits,LauncherShortcuts,AccountList
inherits,BinaryTempFileBody,RawDataBody
inherits,DeferredFileBody,RawDataBody
inherits,FileBackedBody,RawDataBody
inherits,BinaryMemoryBody,RawDataBody
inherits,LockedAttachmentView,ToolableViewAnimator
has,AttachmentViewCallback,AttachmentViewInfo
has,DeferredFileOutputStream,FileFactory
has,IdentityHeaderBuilder,MessageReference
has,IdentityHeaderBuilder,QuotedTextMode
has,IdentityHeaderBuilder,InsertableHtmlContent
has,IdentityHeaderBuilder,IdentityField
has,IdentityHeaderBuilder,SimpleMessageFormat
has,IdentityHeaderBuilder,Identity
has,IdentityHeaderBuilder,TextBody
has,SmtpTransport,NegativeSmtpReplyException
has,SmtpTransport,TrustedSocketFactory
has,SmtpTransport,ConnectionSecurity
has,SmtpTransport,PeekableInputStream
has,SmtpTransport,MessagingException
has,SmtpTransport,AuthType
has,SmtpTransport,EOLConvertingOutputStream
has,SmtpTransport,StoreConfig
has,SmtpTransport,ServerSettings
has,SmtpTransport,Message
has,SmtpTransport,OAuth2TokenProvider
has,SmtpTransport,Address
has,LockedAttachmentView,AttachmentViewCallback
has,LockedAttachmentView,AttachmentViewInfo
has,LockedAttachmentView,AttachmentView
has,MessageReference,Flag
has,MessageContainerView,AttachmentViewCallback
has,MessageContainerView,LockedAttachmentView
has,MessageContainerView,AttachmentResolver
has,MessageContainerView,AttachmentViewInfo
has,MessageContainerView,ClipboardManager
has,MessageContainerView,Contacts
has,MessageContainerView,MessageViewInfo
has,MessageContainerView,AttachmentView
has,MessageContainerView,MessageWebView
has,BaseNotifications,NotificationController
has,BaseNotifications,NotificationActionCreator
has,BaseNotifications,NotificationContent
has,BaseNotifications,Account
has,BaseNotifications,NotificationHolder
has,NotificationController,MessageReference
has,NotificationController,LocalMessage
has,NotificationController,Folder
has,NotificationController,CertificateErrorNotifications
has,NotificationController,SendFailedNotifications
has,NotificationController,SyncNotifications
has,NotificationController,NotificationActionCreator
has,NotificationController,NewMailNotifications
has,NotificationController,AuthenticationErrorNotifications
has,NotificationController,Account
has,AccountCreator,ConnectionSecurity
has,ImapResponseParser,ImapResponseCallback
has,ImapResponseParser,PeekableInputStream
has,ImapResponseParser,ImapList
has,ImapResponseParser,FixedLengthInputStream
has,ImapResponseParser,UntaggedHandler
has,ImapResponseParser,ImapResponse
has,MessageRemovalListener,Message
has,AccountSetupIncoming,ConnectionSecurity
has,AccountSetupIncoming,WebDavStoreSettings
has,AccountSetupIncoming,AuthTypeAdapter
has,AccountSetupIncoming,AuthType
has,AccountSetupIncoming,ConnectionSecurityAdapter
has,AccountSetupIncoming,ClientCertificateSpinner
has,AccountSetupIncoming,AuthTypeHolder
has,AccountSetupIncoming,ServerSettings
has,AccountSetupIncoming,Store
has,AccountSetupIncoming,Account
has,AccountSetupIncoming,ConnectionSecurityHolder
has,AccountSetupIncoming,ImapStoreSettings
has,AttachmentInfoExtractor,DeferredFileBody
has,AttachmentInfoExtractor,LocalMessage
has,AttachmentInfoExtractor,AttachmentViewInfo
has,AttachmentInfoExtractor,LocalPart
has,AttachmentInfoExtractor,Part
has,AttachmentInfoExtractor,Body
has,Transport,Message
has,Pop3Store,TrustedSocketFactory
has,Pop3Store,ConnectionSecurity
has,Pop3Store,Folder
has,Pop3Store,AuthType
has,Pop3Store,StoreConfig
has,Pop3Store,ServerSettings
has,ReplyToParser,Message
has,ReplyToParser,Address
has,ReplyToParser,Account
has,AutocryptOperations,AutocryptHeaderParser
has,AutocryptOperations,AutocryptHeader
has,AutocryptOperations,Message
has,DefaultBodyFactory,BinaryTempFileBody
has,EnhancedNegativeSmtpReplyException,StatusCodeSubject
has,EnhancedNegativeSmtpReplyException,StatusCodeDetail
has,EnhancedNegativeSmtpReplyException,StatusCodeClass
has,Base64OutputStream,Base64
has,MimeMultipart,BodyPart
