id,abstraction,role_stereotype
NewMailNotifications,concrete,Coordinator
LockScreenNotification,concrete,Coordinator
NotificationActionCreator,concrete,Service Provider
Folder,abstract,Structurer
Identity,concrete,Information Holder
ImapStore,concrete,Structurer
Account,concrete,Information Holder
ImapFolder,concrete,Structurer
DeviceNotifications,concrete,Service Provider
MessageCompose,concrete,Controller
FolderNameCodec,concrete,Service Provider
NotificationContentCreator,concrete,Service Provider
ServerSettings,concrete,Information Holder
NotificationContent,concrete,Information Holder
AddNotificationResult,concrete,Information Holder
DeviceNotifications,concrete,Service Provider
NotificationData,concrete,Structurer
ImapList,concrete,Structurer
NewMailNotifications,concrete,Coordinator
WebDavStoreUriCreator,concrete,Service Provider
ImapConnection,concrete,Service Provider
ImapFolder,concrete,Structurer
Account,concrete,Information Holder
NewMailNotifications,concrete,Coordinator
BodyFactory,interface,Service Provider
ImapFolder,concrete,Structurer
WearNotifications,concrete,Coordinator
NewMailNotifications,concrete,Coordinator
ImapFolder,concrete,Structurer
NotificationHolder,concrete,Information Holder
Part,interface,Service Provider
NewMailNotifications,concrete,Coordinator
QuotedMessagePresenter,concrete,Structurer
ImapFolder,concrete,Structurer
MessageReference,concrete,Information Holder
NewMailNotifications,concrete,Coordinator
ImapMessage,concrete,Structurer
ImapFolder,concrete,Structurer
LocalFolder,concrete,Information Holder
NewMailNotifications,concrete,Coordinator
FetchProfile,concrete,Structurer
ImapFolder,concrete,Structurer
NewMailNotifications,concrete,Coordinator
ImapFolder,concrete,Structurer
MlfUtils,concrete,Service Provider
Message,abstract,Structurer
ImapFolder,concrete,Structurer
MlfUtils,concrete,Service Provider
MlfUtils,concrete,Service Provider
ImapFolder,concrete,Structurer
QuotedTextMode,concrete,Information Holder
MessagingException,concrete,Information Holder
MlfUtils,concrete,Service Provider
MessageViewInfo,concrete,Information Holder
MlfUtils,concrete,Service Provider
QuotedMessagePresenter,concrete,Structurer
LocalStore,interface,Service Provider
QuotedMessagePresenter,concrete,Structurer
Preferences,concrete,Structurer
ImapFolder,concrete,Structurer
MlfUtils,concrete,Service Provider
ImapResponse,concrete,Information Holder
ImapConnection,concrete,Service Provider
TextBody,concrete,Information Holder
PermanentFlagsResponse,concrete,Service Provider
SignSafeOutputStream,concrete,Service Provider
Part,interface,Service Provider
ImapFolder,concrete,Structurer
Part,interface,Service Provider
ConnectionSecurity,concrete,Information Holder
Part,interface,Service Provider
QuotedMessagePresenter,concrete,Structurer
CountingOutputStream,concrete,Information Holder
Account,concrete,Information Holder
QuotedMessageMvpView,concrete,Interfacer
MessageBuilder,abstract,Service Provider
BodyFactory,interface,Service Provider
EmailProviderCache,concrete,Structurer
EOLConvertingOutputStream,concrete,Service Provider
MessageCompose,concrete,Controller
Account,concrete,Information Holder
ImapFolder,concrete,Structurer
ConnectionSecurity,concrete,Information Holder
TextBody,concrete,Information Holder
Storage,concrete,Structurer
ImapPushState,concrete,Service Provider
QuotedMessagePresenter,concrete,Structurer
ImapFolder,concrete,Structurer
AuthType,concrete,Information Holder
EmailProviderCacheCursor,concrete,Structurer
ImapMessage,concrete,Structurer
QuotedMessagePresenter,concrete,Structurer
ImapFolder,concrete,Structurer
NetworkType,concrete,Information Holder
AccountSetupComposition,concrete,Interfacer
WebDavFolder,concrete,Service Provider
SelectOrExamineResponse,concrete,Service Provider
QuotedMessagePresenter,concrete,Structurer
ImapFolder,concrete,Structurer
MessageReference,concrete,Information Holder
ImapStoreSettings,concrete,Information Holder
Folder,abstract,Structurer
FetchProfile,concrete,Structurer
GlobalSettings,concrete,Coordinator
