conn_type,source,target
uses,JavaDrawViewer,Drawing
uses,JavaDrawViewer,DrawingView
uses,JavaDrawViewer,Tool
uses,ReverseFigureEnumerator,Figure
uses,StandardDrawingView,Handle
uses,StandardDrawingView,FigureSelection
uses,StandardDrawingView,FigureEnumeration
uses,StandardDrawingView,Figure
uses,StandardDrawingView,DrawingEditor
uses,StandardDrawingView,Drawing
uses,StandardDrawingView,PointConstrainer
uses,StandardDrawingView,Tool
uses,ElbowConnection,Locator
uses,DrawingChangeEvent,Drawing
uses,Handle,Figure
uses,PolygonFigure,Connector
uses,PolygonFigure,Locator
uses,BouncingDrawing,Figure
uses,FigureEnumeration,Figure
uses,StorableInput,Storable
uses,DrawApplet,StandardDrawingView
uses,DrawApplet,Drawing
uses,DrawApplet,DrawingView
uses,DrawApplet,Tool
uses,DrawApplet,ToolButton
uses,PolygonHandle,PolygonFigure
uses,JavaDrawApplet,Drawing
uses,ConnectionTool,Figure
uses,ConnectionTool,Connector
uses,ConnectionTool,ConnectionFigure
uses,AbstractHandle,Figure
uses,AbstractTool,DrawingEditor
uses,AbstractTool,Drawing
uses,AbstractTool,DrawingView
uses,DecoratorFigure,FigureEnumeration
uses,DecoratorFigure,Figure
uses,DecoratorFigure,Connector
uses,DecoratorFigure,Locator
uses,Figure,FigureEnumeration
uses,Figure,Connector
uses,Figure,Locator
uses,Figure,FigureChangeListener
uses,AbstractConnector,Figure
uses,BoxHandleKit,Handle
uses,DrawingEditor,Drawing
uses,DrawingEditor,DrawingView
uses,DrawingEditor,Tool
uses,JavaDrawApp,Drawing
uses,JavaDrawApp,Tool
uses,FigureChangeEvent,Figure
uses,LineConnection,Figure
uses,LineConnection,Connector
uses,ChangeConnectionHandle,Figure
uses,ChangeConnectionHandle,Connector
uses,SelectionTool,Tool
uses,Drawing,FigureEnumeration
uses,Drawing,Figure
uses,Connector,Figure
uses,DrawingView,Handle
uses,DrawingView,FigureSelection
uses,DrawingView,FigureEnumeration
uses,DrawingView,Figure
uses,DrawingView,DrawingEditor
uses,DrawingView,Drawing
uses,DrawingView,PointConstrainer
uses,DrawingView,Tool
uses,FigureChangeEventMulticaster,FigureChangeListener
uses,RelativeLocator,Locator
uses,ConnectionHandle,Figure
uses,ConnectionHandle,Connector
