source,target,interaction,weight
CH.ifa.draw.applet.DrawApplet,CH.ifa.draw.applet.SleeperThread,constructs,1
CH.ifa.draw.applet.DrawApplet,CH.ifa.draw.figures.AttributeFigure,depends,5
CH.ifa.draw.applet.DrawApplet,CH.ifa.draw.figures.GroupCommand,constructs,1
CH.ifa.draw.applet.DrawApplet,CH.ifa.draw.figures.UngroupCommand,constructs,1
CH.ifa.draw.applet.DrawApplet,CH.ifa.draw.framework.Drawing,depends,3
CH.ifa.draw.applet.DrawApplet,CH.ifa.draw.framework.Drawing,holds,1
CH.ifa.draw.applet.DrawApplet,CH.ifa.draw.framework.Drawing,returns,2
CH.ifa.draw.applet.DrawApplet,CH.ifa.draw.framework.DrawingEditor,specializes,1
CH.ifa.draw.applet.DrawApplet,CH.ifa.draw.framework.DrawingView,accepts,1
CH.ifa.draw.applet.DrawApplet,CH.ifa.draw.framework.DrawingView,returns,1
CH.ifa.draw.applet.DrawApplet,CH.ifa.draw.framework.Figure,depends,5
CH.ifa.draw.applet.DrawApplet,CH.ifa.draw.framework.FigureEnumeration,depends,1
CH.ifa.draw.applet.DrawApplet,CH.ifa.draw.framework.Tool,accepts,2
CH.ifa.draw.applet.DrawApplet,CH.ifa.draw.framework.Tool,depends,2
CH.ifa.draw.applet.DrawApplet,CH.ifa.draw.framework.Tool,holds,1
CH.ifa.draw.applet.DrawApplet,CH.ifa.draw.framework.Tool,returns,2
CH.ifa.draw.applet.DrawApplet,CH.ifa.draw.standard.BufferedUpdateStrategy,constructs,1
CH.ifa.draw.applet.DrawApplet,CH.ifa.draw.standard.ChangeAttributeCommand,constructs,6
CH.ifa.draw.applet.DrawApplet,CH.ifa.draw.standard.DeleteCommand,constructs,1
CH.ifa.draw.applet.DrawApplet,CH.ifa.draw.standard.DuplicateCommand,constructs,1
CH.ifa.draw.applet.DrawApplet,CH.ifa.draw.standard.SelectionTool,constructs,1
CH.ifa.draw.applet.DrawApplet,CH.ifa.draw.standard.SimpleUpdateStrategy,constructs,1
CH.ifa.draw.applet.DrawApplet,CH.ifa.draw.standard.StandardDrawing,constructs,1
CH.ifa.draw.applet.DrawApplet,CH.ifa.draw.standard.StandardDrawingView,constructs,1
CH.ifa.draw.applet.DrawApplet,CH.ifa.draw.standard.StandardDrawingView,depends,6
CH.ifa.draw.applet.DrawApplet,CH.ifa.draw.standard.StandardDrawingView,holds,1
CH.ifa.draw.applet.DrawApplet,CH.ifa.draw.standard.StandardDrawingView,returns,1
CH.ifa.draw.applet.DrawApplet,CH.ifa.draw.standard.ToolButton,accepts,1
CH.ifa.draw.applet.DrawApplet,CH.ifa.draw.standard.ToolButton,constructs,1
CH.ifa.draw.applet.DrawApplet,CH.ifa.draw.standard.ToolButton,depends,6
CH.ifa.draw.applet.DrawApplet,CH.ifa.draw.standard.ToolButton,holds,2
CH.ifa.draw.applet.DrawApplet,CH.ifa.draw.standard.ToolButton,returns,1
CH.ifa.draw.applet.DrawApplet,CH.ifa.draw.util.ColorMap,depends,5
CH.ifa.draw.applet.DrawApplet,CH.ifa.draw.util.CommandButton,constructs,4
CH.ifa.draw.applet.DrawApplet,CH.ifa.draw.util.CommandChoice,constructs,3
CH.ifa.draw.applet.DrawApplet,CH.ifa.draw.util.CommandChoice,depends,6
CH.ifa.draw.applet.DrawApplet,CH.ifa.draw.util.Filler,constructs,2
CH.ifa.draw.applet.DrawApplet,CH.ifa.draw.util.Iconkit,constructs,1
CH.ifa.draw.applet.DrawApplet,CH.ifa.draw.util.Iconkit,holds,1
CH.ifa.draw.applet.DrawApplet,CH.ifa.draw.util.PaletteButton,accepts,2
CH.ifa.draw.applet.DrawApplet,CH.ifa.draw.util.PaletteButton,depends,2
CH.ifa.draw.applet.DrawApplet,CH.ifa.draw.util.PaletteLayout,constructs,3
CH.ifa.draw.applet.DrawApplet,CH.ifa.draw.util.PaletteListener,specializes,1
CH.ifa.draw.applet.DrawApplet,CH.ifa.draw.util.StorableInput,constructs,1
CH.ifa.draw.applet.DrawApplet,CH.ifa.draw.util.StorableInput,depends,1
CH.ifa.draw.application.DrawApplication,CH.ifa.draw.figures.GroupCommand,constructs,1
CH.ifa.draw.application.DrawApplication,CH.ifa.draw.figures.UngroupCommand,constructs,1
CH.ifa.draw.application.DrawApplication,CH.ifa.draw.framework.Drawing,accepts,1
CH.ifa.draw.application.DrawApplication,CH.ifa.draw.framework.Drawing,depends,2
CH.ifa.draw.application.DrawApplication,CH.ifa.draw.framework.Drawing,holds,1
CH.ifa.draw.application.DrawApplication,CH.ifa.draw.framework.Drawing,returns,2
CH.ifa.draw.application.DrawApplication,CH.ifa.draw.framework.DrawingEditor,specializes,1
CH.ifa.draw.application.DrawApplication,CH.ifa.draw.framework.DrawingView,accepts,1
CH.ifa.draw.application.DrawApplication,CH.ifa.draw.framework.DrawingView,returns,1
CH.ifa.draw.application.DrawApplication,CH.ifa.draw.framework.Tool,accepts,2
CH.ifa.draw.application.DrawApplication,CH.ifa.draw.framework.Tool,depends,4
CH.ifa.draw.application.DrawApplication,CH.ifa.draw.framework.Tool,holds,1
CH.ifa.draw.application.DrawApplication,CH.ifa.draw.framework.Tool,returns,2
CH.ifa.draw.application.DrawApplication,CH.ifa.draw.standard.AlignCommand,constructs,6
CH.ifa.draw.application.DrawApplication,CH.ifa.draw.standard.BringToFrontCommand,constructs,1
CH.ifa.draw.application.DrawApplication,CH.ifa.draw.standard.BufferedUpdateStrategy,constructs,1
CH.ifa.draw.application.DrawApplication,CH.ifa.draw.standard.ChangeAttributeCommand,constructs,10
CH.ifa.draw.application.DrawApplication,CH.ifa.draw.standard.CopyCommand,constructs,1
CH.ifa.draw.application.DrawApplication,CH.ifa.draw.standard.CutCommand,constructs,1
CH.ifa.draw.application.DrawApplication,CH.ifa.draw.standard.DeleteCommand,constructs,1
CH.ifa.draw.application.DrawApplication,CH.ifa.draw.standard.DuplicateCommand,constructs,1
CH.ifa.draw.application.DrawApplication,CH.ifa.draw.standard.PasteCommand,constructs,1
CH.ifa.draw.application.DrawApplication,CH.ifa.draw.standard.SelectionTool,constructs,1
CH.ifa.draw.application.DrawApplication,CH.ifa.draw.standard.SendToBackCommand,constructs,1
CH.ifa.draw.application.DrawApplication,CH.ifa.draw.standard.SimpleUpdateStrategy,constructs,1
CH.ifa.draw.application.DrawApplication,CH.ifa.draw.standard.StandardDrawing,constructs,1
CH.ifa.draw.application.DrawApplication,CH.ifa.draw.standard.StandardDrawingView,accepts,1
CH.ifa.draw.application.DrawApplication,CH.ifa.draw.standard.StandardDrawingView,constructs,1
CH.ifa.draw.application.DrawApplication,CH.ifa.draw.standard.StandardDrawingView,depends,6
CH.ifa.draw.application.DrawApplication,CH.ifa.draw.standard.StandardDrawingView,holds,1
CH.ifa.draw.application.DrawApplication,CH.ifa.draw.standard.StandardDrawingView,returns,1
CH.ifa.draw.application.DrawApplication,CH.ifa.draw.standard.ToggleGridCommand,constructs,1
CH.ifa.draw.application.DrawApplication,CH.ifa.draw.standard.ToolButton,accepts,1
CH.ifa.draw.application.DrawApplication,CH.ifa.draw.standard.ToolButton,constructs,1
CH.ifa.draw.application.DrawApplication,CH.ifa.draw.standard.ToolButton,depends,6
CH.ifa.draw.application.DrawApplication,CH.ifa.draw.standard.ToolButton,holds,2
CH.ifa.draw.application.DrawApplication,CH.ifa.draw.standard.ToolButton,returns,1
CH.ifa.draw.application.DrawApplication,CH.ifa.draw.util.ColorMap,depends,3
CH.ifa.draw.application.DrawApplication,CH.ifa.draw.util.CommandMenu,constructs,7
CH.ifa.draw.application.DrawApplication,CH.ifa.draw.util.CommandMenu,depends,28
CH.ifa.draw.application.DrawApplication,CH.ifa.draw.util.Iconkit,constructs,1
CH.ifa.draw.application.DrawApplication,CH.ifa.draw.util.Iconkit,holds,1
CH.ifa.draw.application.DrawApplication,CH.ifa.draw.util.PaletteButton,accepts,2
CH.ifa.draw.application.DrawApplication,CH.ifa.draw.util.PaletteButton,depends,2
CH.ifa.draw.application.DrawApplication,CH.ifa.draw.util.PaletteLayout,constructs,1
CH.ifa.draw.application.DrawApplication,CH.ifa.draw.util.PaletteListener,specializes,1
CH.ifa.draw.application.DrawApplication,CH.ifa.draw.util.StorableInput,constructs,1
CH.ifa.draw.application.DrawApplication,CH.ifa.draw.util.StorableInput,depends,1
CH.ifa.draw.application.DrawApplication,CH.ifa.draw.util.StorableOutput,constructs,1
CH.ifa.draw.application.DrawApplication,CH.ifa.draw.util.StorableOutput,depends,2
CH.ifa.draw.contrib.ChopPolygonConnector,CH.ifa.draw.contrib.PolygonFigure,depends,1
CH.ifa.draw.contrib.ChopPolygonConnector,CH.ifa.draw.framework.Figure,accepts,2
CH.ifa.draw.contrib.ChopPolygonConnector,CH.ifa.draw.standard.ChopBoxConnector,specializes,1
CH.ifa.draw.contrib.DiamondFigure,CH.ifa.draw.figures.AttributeFigure,depends,2
CH.ifa.draw.contrib.DiamondFigure,CH.ifa.draw.figures.RectangleFigure,depends,2
CH.ifa.draw.contrib.DiamondFigure,CH.ifa.draw.figures.RectangleFigure,specializes,1
CH.ifa.draw.contrib.PolygonFigure,CH.ifa.draw.contrib.ChopPolygonConnector,constructs,1
CH.ifa.draw.contrib.PolygonFigure,CH.ifa.draw.contrib.PolygonHandle,constructs,1
CH.ifa.draw.contrib.PolygonFigure,CH.ifa.draw.contrib.PolygonScaleHandle,constructs,1
CH.ifa.draw.contrib.PolygonFigure,CH.ifa.draw.figures.AttributeFigure,depends,2
CH.ifa.draw.contrib.PolygonFigure,CH.ifa.draw.figures.AttributeFigure,specializes,1
CH.ifa.draw.contrib.PolygonFigure,CH.ifa.draw.framework.Connector,returns,1
CH.ifa.draw.contrib.PolygonFigure,CH.ifa.draw.framework.Locator,returns,1
CH.ifa.draw.contrib.PolygonFigure,CH.ifa.draw.standard.AbstractFigure,depends,13
CH.ifa.draw.contrib.PolygonFigure,CH.ifa.draw.standard.AbstractLocator,constructs,1
CH.ifa.draw.contrib.PolygonFigure,CH.ifa.draw.util.Geom,depends,8
CH.ifa.draw.contrib.PolygonFigure,CH.ifa.draw.util.StorableInput,accepts,1
CH.ifa.draw.contrib.PolygonFigure,CH.ifa.draw.util.StorableInput,depends,3
CH.ifa.draw.contrib.PolygonFigure,CH.ifa.draw.util.StorableOutput,accepts,1
CH.ifa.draw.contrib.PolygonFigure,CH.ifa.draw.util.StorableOutput,depends,3
CH.ifa.draw.contrib.PolygonHandle,CH.ifa.draw.contrib.PolygonFigure,accepts,1
CH.ifa.draw.contrib.PolygonHandle,CH.ifa.draw.contrib.PolygonFigure,depends,2
CH.ifa.draw.contrib.PolygonHandle,CH.ifa.draw.contrib.PolygonFigure,returns,1
CH.ifa.draw.contrib.PolygonHandle,CH.ifa.draw.framework.DrawingView,accepts,2
CH.ifa.draw.contrib.PolygonHandle,CH.ifa.draw.framework.Locator,accepts,1
CH.ifa.draw.contrib.PolygonHandle,CH.ifa.draw.framework.Locator,depends,1
CH.ifa.draw.contrib.PolygonHandle,CH.ifa.draw.framework.Locator,holds,1
CH.ifa.draw.contrib.PolygonHandle,CH.ifa.draw.standard.AbstractHandle,depends,2
CH.ifa.draw.contrib.PolygonHandle,CH.ifa.draw.standard.AbstractHandle,specializes,1
CH.ifa.draw.contrib.PolygonScaleHandle,CH.ifa.draw.contrib.PolygonFigure,accepts,1
CH.ifa.draw.contrib.PolygonScaleHandle,CH.ifa.draw.contrib.PolygonFigure,depends,4
CH.ifa.draw.contrib.PolygonScaleHandle,CH.ifa.draw.framework.Drawing,accepts,3
CH.ifa.draw.contrib.PolygonScaleHandle,CH.ifa.draw.standard.AbstractHandle,depends,5
CH.ifa.draw.contrib.PolygonScaleHandle,CH.ifa.draw.standard.AbstractHandle,specializes,1
CH.ifa.draw.contrib.PolygonScaleHandle,CH.ifa.draw.util.Geom,depends,1
CH.ifa.draw.contrib.PolygonTool,CH.ifa.draw.contrib.PolygonFigure,constructs,1
CH.ifa.draw.contrib.PolygonTool,CH.ifa.draw.contrib.PolygonFigure,depends,8
CH.ifa.draw.contrib.PolygonTool,CH.ifa.draw.contrib.PolygonFigure,holds,1
CH.ifa.draw.contrib.PolygonTool,CH.ifa.draw.framework.Drawing,depends,1
CH.ifa.draw.contrib.PolygonTool,CH.ifa.draw.framework.DrawingEditor,depends,1
CH.ifa.draw.contrib.PolygonTool,CH.ifa.draw.framework.DrawingView,accepts,1
CH.ifa.draw.contrib.PolygonTool,CH.ifa.draw.framework.DrawingView,depends,2
CH.ifa.draw.contrib.PolygonTool,CH.ifa.draw.standard.AbstractFigure,depends,2
CH.ifa.draw.contrib.PolygonTool,CH.ifa.draw.standard.AbstractTool,depends,6
CH.ifa.draw.contrib.PolygonTool,CH.ifa.draw.standard.AbstractTool,specializes,1
CH.ifa.draw.contrib.TriangleFigure,CH.ifa.draw.contrib.PolygonFigure,depends,2
CH.ifa.draw.contrib.TriangleFigure,CH.ifa.draw.contrib.TriangleRotationHandle,constructs,1
CH.ifa.draw.contrib.TriangleFigure,CH.ifa.draw.figures.AttributeFigure,depends,2
CH.ifa.draw.contrib.TriangleFigure,CH.ifa.draw.figures.RectangleFigure,depends,5
CH.ifa.draw.contrib.TriangleFigure,CH.ifa.draw.figures.RectangleFigure,specializes,1
CH.ifa.draw.contrib.TriangleFigure,CH.ifa.draw.standard.AbstractFigure,depends,3
CH.ifa.draw.contrib.TriangleFigure,CH.ifa.draw.util.StorableInput,accepts,1
CH.ifa.draw.contrib.TriangleFigure,CH.ifa.draw.util.StorableInput,depends,1
CH.ifa.draw.contrib.TriangleFigure,CH.ifa.draw.util.StorableOutput,accepts,1
CH.ifa.draw.contrib.TriangleFigure,CH.ifa.draw.util.StorableOutput,depends,1
CH.ifa.draw.contrib.TriangleRotationHandle,CH.ifa.draw.contrib.TriangleFigure,accepts,1
CH.ifa.draw.contrib.TriangleRotationHandle,CH.ifa.draw.contrib.TriangleFigure,depends,2
CH.ifa.draw.contrib.TriangleRotationHandle,CH.ifa.draw.framework.Drawing,accepts,3
CH.ifa.draw.contrib.TriangleRotationHandle,CH.ifa.draw.framework.Figure,depends,2
CH.ifa.draw.contrib.TriangleRotationHandle,CH.ifa.draw.standard.AbstractHandle,depends,5
CH.ifa.draw.contrib.TriangleRotationHandle,CH.ifa.draw.standard.AbstractHandle,specializes,1
CH.ifa.draw.contrib.TriangleRotationHandle,CH.ifa.draw.util.Geom,depends,1
CH.ifa.draw.figures.ArrowTip,CH.ifa.draw.figures.LineDecoration,specializes,1
CH.ifa.draw.figures.ArrowTip,CH.ifa.draw.util.StorableInput,accepts,1
CH.ifa.draw.figures.ArrowTip,CH.ifa.draw.util.StorableOutput,accepts,1
CH.ifa.draw.figures.AttributeFigure,CH.ifa.draw.figures.FigureAttributes,constructs,3
CH.ifa.draw.figures.AttributeFigure,CH.ifa.draw.figures.FigureAttributes,depends,13
CH.ifa.draw.figures.AttributeFigure,CH.ifa.draw.figures.FigureAttributes,holds,2
CH.ifa.draw.figures.AttributeFigure,CH.ifa.draw.standard.AbstractFigure,depends,3
CH.ifa.draw.figures.AttributeFigure,CH.ifa.draw.standard.AbstractFigure,specializes,1
CH.ifa.draw.figures.AttributeFigure,CH.ifa.draw.util.ColorMap,depends,2
CH.ifa.draw.figures.AttributeFigure,CH.ifa.draw.util.StorableInput,accepts,1
CH.ifa.draw.figures.AttributeFigure,CH.ifa.draw.util.StorableInput,depends,1
CH.ifa.draw.figures.AttributeFigure,CH.ifa.draw.util.StorableOutput,accepts,1
CH.ifa.draw.figures.AttributeFigure,CH.ifa.draw.util.StorableOutput,depends,2
CH.ifa.draw.figures.BorderDecorator,CH.ifa.draw.framework.Figure,accepts,1
CH.ifa.draw.figures.BorderDecorator,CH.ifa.draw.framework.Figure,depends,1
CH.ifa.draw.figures.BorderDecorator,CH.ifa.draw.framework.FigureChangeEvent,accepts,1
CH.ifa.draw.figures.BorderDecorator,CH.ifa.draw.framework.FigureChangeEvent,constructs,1
CH.ifa.draw.figures.BorderDecorator,CH.ifa.draw.framework.FigureChangeEvent,depends,2
CH.ifa.draw.figures.BorderDecorator,CH.ifa.draw.standard.DecoratorFigure,depends,3
CH.ifa.draw.figures.BorderDecorator,CH.ifa.draw.standard.DecoratorFigure,specializes,1
CH.ifa.draw.figures.BorderTool,CH.ifa.draw.figures.BorderDecorator,constructs,1
CH.ifa.draw.figures.BorderTool,CH.ifa.draw.framework.Drawing,depends,1
CH.ifa.draw.figures.BorderTool,CH.ifa.draw.framework.DrawingView,accepts,1
CH.ifa.draw.figures.BorderTool,CH.ifa.draw.framework.Figure,accepts,1
CH.ifa.draw.figures.BorderTool,CH.ifa.draw.standard.AbstractTool,depends,1
CH.ifa.draw.figures.BorderTool,CH.ifa.draw.standard.ActionTool,specializes,1
CH.ifa.draw.figures.ChopEllipseConnector,CH.ifa.draw.framework.Figure,accepts,2
CH.ifa.draw.figures.ChopEllipseConnector,CH.ifa.draw.framework.Figure,depends,1
CH.ifa.draw.figures.ChopEllipseConnector,CH.ifa.draw.standard.ChopBoxConnector,specializes,1
CH.ifa.draw.figures.ChopEllipseConnector,CH.ifa.draw.util.Geom,depends,2
CH.ifa.draw.figures.ConnectedTextTool,CH.ifa.draw.figures.TextTool,depends,1
CH.ifa.draw.figures.ConnectedTextTool,CH.ifa.draw.figures.TextTool,specializes,1
CH.ifa.draw.figures.ConnectedTextTool,CH.ifa.draw.framework.Drawing,depends,1
CH.ifa.draw.figures.ConnectedTextTool,CH.ifa.draw.framework.DrawingView,accepts,1
CH.ifa.draw.figures.ConnectedTextTool,CH.ifa.draw.framework.Figure,accepts,1
CH.ifa.draw.figures.ConnectedTextTool,CH.ifa.draw.standard.AbstractTool,depends,1
CH.ifa.draw.figures.ConnectedTextTool,CH.ifa.draw.standard.CreationTool,depends,1
CH.ifa.draw.figures.ConnectedTextTool,CH.ifa.draw.standard.TextHolder,depends,1
CH.ifa.draw.figures.ElbowConnection,CH.ifa.draw.figures.ElbowHandle,constructs,1
CH.ifa.draw.figures.ElbowConnection,CH.ifa.draw.figures.ElbowTextLocator,constructs,1
CH.ifa.draw.figures.ElbowConnection,CH.ifa.draw.figures.LineConnection,depends,5
CH.ifa.draw.figures.ElbowConnection,CH.ifa.draw.figures.LineConnection,specializes,1
CH.ifa.draw.figures.ElbowConnection,CH.ifa.draw.figures.PolyLineFigure,depends,1
CH.ifa.draw.figures.ElbowConnection,CH.ifa.draw.framework.Connector,depends,2
CH.ifa.draw.figures.ElbowConnection,CH.ifa.draw.framework.Figure,accepts,1
CH.ifa.draw.figures.ElbowConnection,CH.ifa.draw.framework.Figure,depends,2
CH.ifa.draw.figures.ElbowConnection,CH.ifa.draw.framework.Locator,returns,1
CH.ifa.draw.figures.ElbowConnection,CH.ifa.draw.standard.AbstractFigure,depends,2
CH.ifa.draw.figures.ElbowConnection,CH.ifa.draw.standard.ChangeConnectionEndHandle,constructs,1
CH.ifa.draw.figures.ElbowConnection,CH.ifa.draw.standard.ChangeConnectionStartHandle,constructs,1
CH.ifa.draw.figures.ElbowConnection,CH.ifa.draw.standard.NullHandle,constructs,1
CH.ifa.draw.figures.ElbowConnection,CH.ifa.draw.util.Geom,depends,1
CH.ifa.draw.figures.ElbowHandle,CH.ifa.draw.figures.LineConnection,accepts,1
CH.ifa.draw.figures.ElbowHandle,CH.ifa.draw.figures.LineConnection,depends,6
CH.ifa.draw.figures.ElbowHandle,CH.ifa.draw.figures.LineConnection,returns,1
CH.ifa.draw.figures.ElbowHandle,CH.ifa.draw.figures.PolyLineFigure,depends,7
