id,abstraction,name,package,type
CH.ifa.draw.applet.DrawApplet,,DrawApplet,CH.ifa.draw.applet,Structure
CH.ifa.draw.applet.SleeperThread,,SleeperThread,CH.ifa.draw.applet,Structure
CH.ifa.draw.application.DrawApplication,,DrawApplication,CH.ifa.draw.application,Structure
CH.ifa.draw.contrib.ChopPolygonConnector,,ChopPolygonConnector,CH.ifa.draw.contrib,Structure
CH.ifa.draw.contrib.DiamondFigure,,DiamondFigure,CH.ifa.draw.contrib,Structure
CH.ifa.draw.contrib.PolygonFigure,,PolygonFigure,CH.ifa.draw.contrib,Structure
CH.ifa.draw.contrib.PolygonHandle,,PolygonHandle,CH.ifa.draw.contrib,Structure
CH.ifa.draw.contrib.PolygonScaleHandle,,PolygonScaleHandle,CH.ifa.draw.contrib,Structure
CH.ifa.draw.contrib.PolygonTool,,PolygonTool,CH.ifa.draw.contrib,Structure
CH.ifa.draw.contrib.TriangleFigure,,TriangleFigure,CH.ifa.draw.contrib,Structure
CH.ifa.draw.contrib.TriangleRotationHandle,,TriangleRotationHandle,CH.ifa.draw.contrib,Structure
CH.ifa.draw.figures.ArrowTip,,ArrowTip,CH.ifa.draw.figures,Structure
CH.ifa.draw.figures.AttributeFigure,abstract,AttributeFigure,CH.ifa.draw.figures,Structure
CH.ifa.draw.figures.BorderDecorator,,BorderDecorator,CH.ifa.draw.figures,Structure
CH.ifa.draw.figures.BorderTool,,BorderTool,CH.ifa.draw.figures,Structure
CH.ifa.draw.figures.ChopEllipseConnector,,ChopEllipseConnector,CH.ifa.draw.figures,Structure
CH.ifa.draw.figures.ConnectedTextTool,,ConnectedTextTool,CH.ifa.draw.figures,Structure
CH.ifa.draw.figures.ElbowConnection,,ElbowConnection,CH.ifa.draw.figures,Structure
CH.ifa.draw.figures.ElbowHandle,,ElbowHandle,CH.ifa.draw.figures,Structure
CH.ifa.draw.figures.ElbowTextLocator,,ElbowTextLocator,CH.ifa.draw.figures,Structure
CH.ifa.draw.figures.EllipseFigure,,EllipseFigure,CH.ifa.draw.figures,Structure
CH.ifa.draw.figures.FigureAttributes,,FigureAttributes,CH.ifa.draw.figures,Structure
CH.ifa.draw.figures.FontSizeHandle,,FontSizeHandle,CH.ifa.draw.figures,Structure
CH.ifa.draw.figures.GroupCommand,,GroupCommand,CH.ifa.draw.figures,Structure
CH.ifa.draw.figures.GroupFigure,,GroupFigure,CH.ifa.draw.figures,Structure
CH.ifa.draw.figures.GroupHandle,,GroupHandle,CH.ifa.draw.figures,Structure
CH.ifa.draw.figures.ImageFigure,,ImageFigure,CH.ifa.draw.figures,Structure
CH.ifa.draw.figures.InsertImageCommand,,InsertImageCommand,CH.ifa.draw.figures,Structure
CH.ifa.draw.figures.LineConnection,,LineConnection,CH.ifa.draw.figures,Structure
CH.ifa.draw.figures.LineDecoration,interface,LineDecoration,CH.ifa.draw.figures,Structure
CH.ifa.draw.figures.LineFigure,,LineFigure,CH.ifa.draw.figures,Structure
CH.ifa.draw.figures.NumberTextFigure,,NumberTextFigure,CH.ifa.draw.figures,Structure
CH.ifa.draw.figures.PolyLineConnector,,PolyLineConnector,CH.ifa.draw.figures,Structure
CH.ifa.draw.figures.PolyLineFigure,,PolyLineFigure,CH.ifa.draw.figures,Structure
CH.ifa.draw.figures.PolyLineHandle,,PolyLineHandle,CH.ifa.draw.figures,Structure
CH.ifa.draw.figures.PolyLineLocator,,PolyLineLocator,CH.ifa.draw.figures,Structure
CH.ifa.draw.figures.RadiusHandle,,RadiusHandle,CH.ifa.draw.figures,Structure
CH.ifa.draw.figures.RectangleFigure,,RectangleFigure,CH.ifa.draw.figures,Structure
CH.ifa.draw.figures.RoundRectangleFigure,,RoundRectangleFigure,CH.ifa.draw.figures,Structure
CH.ifa.draw.figures.ScribbleTool,,ScribbleTool,CH.ifa.draw.figures,Structure
CH.ifa.draw.figures.ShortestDistanceConnector,,ShortestDistanceConnector,CH.ifa.draw.figures,Structure
CH.ifa.draw.figures.TextFigure,,TextFigure,CH.ifa.draw.figures,Structure
CH.ifa.draw.figures.TextTool,,TextTool,CH.ifa.draw.figures,Structure
CH.ifa.draw.figures.UngroupCommand,,UngroupCommand,CH.ifa.draw.figures,Structure
CH.ifa.draw.framework.ConnectionFigure,interface,ConnectionFigure,CH.ifa.draw.framework,Structure
CH.ifa.draw.framework.Connector,interface,Connector,CH.ifa.draw.framework,Structure
CH.ifa.draw.framework.Drawing,interface,Drawing,CH.ifa.draw.framework,Structure
CH.ifa.draw.framework.DrawingChangeEvent,,DrawingChangeEvent,CH.ifa.draw.framework,Structure
CH.ifa.draw.framework.DrawingChangeListener,interface,DrawingChangeListener,CH.ifa.draw.framework,Structure
CH.ifa.draw.framework.DrawingEditor,interface,DrawingEditor,CH.ifa.draw.framework,Structure
CH.ifa.draw.framework.DrawingView,interface,DrawingView,CH.ifa.draw.framework,Structure
CH.ifa.draw.framework.Figure,interface,Figure,CH.ifa.draw.framework,Structure
CH.ifa.draw.framework.FigureChangeEvent,,FigureChangeEvent,CH.ifa.draw.framework,Structure
CH.ifa.draw.framework.FigureChangeListener,interface,FigureChangeListener,CH.ifa.draw.framework,Structure
CH.ifa.draw.framework.FigureEnumeration,interface,FigureEnumeration,CH.ifa.draw.framework,Structure
CH.ifa.draw.framework.FigureSelection,,FigureSelection,CH.ifa.draw.framework,Structure
CH.ifa.draw.framework.HJDError,,HJDError,CH.ifa.draw.framework,Structure
CH.ifa.draw.framework.Handle,interface,Handle,CH.ifa.draw.framework,Structure
CH.ifa.draw.framework.Locator,interface,Locator,CH.ifa.draw.framework,Structure
CH.ifa.draw.framework.Painter,interface,Painter,CH.ifa.draw.framework,Structure
CH.ifa.draw.framework.PointConstrainer,interface,PointConstrainer,CH.ifa.draw.framework,Structure
CH.ifa.draw.framework.Tool,interface,Tool,CH.ifa.draw.framework,Structure
CH.ifa.draw.samples.javadraw.AnimationDecorator,,AnimationDecorator,CH.ifa.draw.samples.javadraw,Structure
CH.ifa.draw.samples.javadraw.Animator,,Animator,CH.ifa.draw.samples.javadraw,Structure
CH.ifa.draw.samples.javadraw.BouncingDrawing,,BouncingDrawing,CH.ifa.draw.samples.javadraw,Structure
CH.ifa.draw.samples.javadraw.FollowURLTool,,FollowURLTool,CH.ifa.draw.samples.javadraw,Structure
CH.ifa.draw.samples.javadraw.JavaDrawApp,,JavaDrawApp,CH.ifa.draw.samples.javadraw,Structure
CH.ifa.draw.samples.javadraw.JavaDrawApplet,,JavaDrawApplet,CH.ifa.draw.samples.javadraw,Structure
CH.ifa.draw.samples.javadraw.JavaDrawViewer,,JavaDrawViewer,CH.ifa.draw.samples.javadraw,Structure
CH.ifa.draw.samples.javadraw.MySelectionTool,,MySelectionTool,CH.ifa.draw.samples.javadraw,Structure
CH.ifa.draw.samples.javadraw.PatternPainter,,PatternPainter,CH.ifa.draw.samples.javadraw,Structure
CH.ifa.draw.samples.javadraw.URLTool,,URLTool,CH.ifa.draw.samples.javadraw,Structure
CH.ifa.draw.samples.net.NetApp,,NetApp,CH.ifa.draw.samples.net,Structure
CH.ifa.draw.samples.net.NodeFigure,,NodeFigure,CH.ifa.draw.samples.net,Structure
CH.ifa.draw.samples.nothing.NothingApp,,NothingApp,CH.ifa.draw.samples.nothing,Structure
CH.ifa.draw.samples.nothing.NothingApplet,,NothingApplet,CH.ifa.draw.samples.nothing,Structure
CH.ifa.draw.samples.pert.PertApplet,,PertApplet,CH.ifa.draw.samples.pert,Structure
CH.ifa.draw.samples.pert.PertApplication,,PertApplication,CH.ifa.draw.samples.pert,Structure
CH.ifa.draw.samples.pert.PertDependency,,PertDependency,CH.ifa.draw.samples.pert,Structure
CH.ifa.draw.samples.pert.PertFigure,,PertFigure,CH.ifa.draw.samples.pert,Structure
CH.ifa.draw.samples.pert.PertFigureCreationTool,,PertFigureCreationTool,CH.ifa.draw.samples.pert,Structure
CH.ifa.draw.standard.AbstractConnector,abstract,AbstractConnector,CH.ifa.draw.standard,Structure
CH.ifa.draw.standard.AbstractFigure,abstract,AbstractFigure,CH.ifa.draw.standard,Structure
CH.ifa.draw.standard.AbstractHandle,abstract,AbstractHandle,CH.ifa.draw.standard,Structure
CH.ifa.draw.standard.AbstractLocator,abstract,AbstractLocator,CH.ifa.draw.standard,Structure
CH.ifa.draw.standard.AbstractTool,,AbstractTool,CH.ifa.draw.standard,Structure
CH.ifa.draw.standard.ActionTool,abstract,ActionTool,CH.ifa.draw.standard,Structure
CH.ifa.draw.standard.AlignCommand,,AlignCommand,CH.ifa.draw.standard,Structure
CH.ifa.draw.standard.BoxHandleKit,,BoxHandleKit,CH.ifa.draw.standard,Structure
CH.ifa.draw.standard.BringToFrontCommand,,BringToFrontCommand,CH.ifa.draw.standard,Structure
CH.ifa.draw.standard.BufferedUpdateStrategy,,BufferedUpdateStrategy,CH.ifa.draw.standard,Structure
CH.ifa.draw.standard.ChangeAttributeCommand,,ChangeAttributeCommand,CH.ifa.draw.standard,Structure
CH.ifa.draw.standard.ChangeConnectionEndHandle,,ChangeConnectionEndHandle,CH.ifa.draw.standard,Structure
CH.ifa.draw.standard.ChangeConnectionHandle,abstract,ChangeConnectionHandle,CH.ifa.draw.standard,Structure
CH.ifa.draw.standard.ChangeConnectionStartHandle,,ChangeConnectionStartHandle,CH.ifa.draw.standard,Structure
CH.ifa.draw.standard.ChopBoxConnector,,ChopBoxConnector,CH.ifa.draw.standard,Structure
CH.ifa.draw.standard.CompositeFigure,abstract,CompositeFigure,CH.ifa.draw.standard,Structure
CH.ifa.draw.standard.ConnectionHandle,,ConnectionHandle,CH.ifa.draw.standard,Structure
CH.ifa.draw.standard.ConnectionTool,,ConnectionTool,CH.ifa.draw.standard,Structure
CH.ifa.draw.standard.CopyCommand,,CopyCommand,CH.ifa.draw.standard,Structure
CH.ifa.draw.standard.CreationTool,,CreationTool,CH.ifa.draw.standard,Structure
CH.ifa.draw.standard.CutCommand,,CutCommand,CH.ifa.draw.standard,Structure
CH.ifa.draw.standard.DecoratorFigure,abstract,DecoratorFigure,CH.ifa.draw.standard,Structure
CH.ifa.draw.standard.DeleteCommand,,DeleteCommand,CH.ifa.draw.standard,Structure
CH.ifa.draw.standard.DragTracker,,DragTracker,CH.ifa.draw.standard,Structure
CH.ifa.draw.standard.DuplicateCommand,,DuplicateCommand,CH.ifa.draw.standard,Structure
CH.ifa.draw.standard.EastHandle,,EastHandle,CH.ifa.draw.standard,Structure
CH.ifa.draw.standard.FigureChangeEventMulticaster,,FigureChangeEventMulticaster,CH.ifa.draw.standard,Structure
CH.ifa.draw.standard.FigureEnumerator,,FigureEnumerator,CH.ifa.draw.standard,Structure
CH.ifa.draw.standard.FigureTransferCommand,abstract,FigureTransferCommand,CH.ifa.draw.standard,Structure
CH.ifa.draw.standard.GridConstrainer,,GridConstrainer,CH.ifa.draw.standard,Structure
CH.ifa.draw.standard.HandleTracker,,HandleTracker,CH.ifa.draw.standard,Structure
CH.ifa.draw.standard.LocatorConnector,,LocatorConnector,CH.ifa.draw.standard,Structure
CH.ifa.draw.standard.LocatorHandle,,LocatorHandle,CH.ifa.draw.standard,Structure
CH.ifa.draw.standard.NorthEastHandle,,NorthEastHandle,CH.ifa.draw.standard,Structure
CH.ifa.draw.standard.NorthHandle,,NorthHandle,CH.ifa.draw.standard,Structure
CH.ifa.draw.standard.NorthWestHandle,,NorthWestHandle,CH.ifa.draw.standard,Structure
CH.ifa.draw.standard.NullHandle,,NullHandle,CH.ifa.draw.standard,Structure
CH.ifa.draw.standard.OffsetLocator,,OffsetLocator,CH.ifa.draw.standard,Structure
CH.ifa.draw.standard.PasteCommand,,PasteCommand,CH.ifa.draw.standard,Structure
CH.ifa.draw.standard.RelativeLocator,,RelativeLocator,CH.ifa.draw.standard,Structure
CH.ifa.draw.standard.ReverseFigureEnumerator,,ReverseFigureEnumerator,CH.ifa.draw.standard,Structure
CH.ifa.draw.standard.SelectAreaTracker,,SelectAreaTracker,CH.ifa.draw.standard,Structure
CH.ifa.draw.standard.SelectionTool,,SelectionTool,CH.ifa.draw.standard,Structure
CH.ifa.draw.standard.SendToBackCommand,,SendToBackCommand,CH.ifa.draw.standard,Structure
CH.ifa.draw.standard.SimpleUpdateStrategy,,SimpleUpdateStrategy,CH.ifa.draw.standard,Structure
CH.ifa.draw.standard.SouthEastHandle,,SouthEastHandle,CH.ifa.draw.standard,Structure
CH.ifa.draw.standard.SouthHandle,,SouthHandle,CH.ifa.draw.standard,Structure
CH.ifa.draw.standard.SouthWestHandle,,SouthWestHandle,CH.ifa.draw.standard,Structure
CH.ifa.draw.standard.StandardDrawing,,StandardDrawing,CH.ifa.draw.standard,Structure
CH.ifa.draw.standard.StandardDrawingView,,StandardDrawingView,CH.ifa.draw.standard,Structure
CH.ifa.draw.standard.TextHolder,interface,TextHolder,CH.ifa.draw.standard,Structure
CH.ifa.draw.standard.ToggleGridCommand,,ToggleGridCommand,CH.ifa.draw.standard,Structure
CH.ifa.draw.standard.ToolButton,,ToolButton,CH.ifa.draw.standard,Structure
CH.ifa.draw.standard.WestHandle,,WestHandle,CH.ifa.draw.standard,Structure
CH.ifa.draw.util.Animatable,interface,Animatable,CH.ifa.draw.util,Structure
CH.ifa.draw.util.Clipboard,,Clipboard,CH.ifa.draw.util,Structure
CH.ifa.draw.util.ColorEntry,,ColorEntry,CH.ifa.draw.util,Structure
CH.ifa.draw.util.ColorMap,,ColorMap,CH.ifa.draw.util,Structure
CH.ifa.draw.util.Command,abstract,Command,CH.ifa.draw.util,Structure
CH.ifa.draw.util.CommandButton,,CommandButton,CH.ifa.draw.util,Structure
CH.ifa.draw.util.CommandChoice,,CommandChoice,CH.ifa.draw.util,Structure
CH.ifa.draw.util.CommandMenu,,CommandMenu,CH.ifa.draw.util,Structure
CH.ifa.draw.util.Filler,,Filler,CH.ifa.draw.util,Structure
CH.ifa.draw.util.FloatingTextField,,FloatingTextField,CH.ifa.draw.util,Structure
CH.ifa.draw.util.Geom,,Geom,CH.ifa.draw.util,Structure
CH.ifa.draw.util.Iconkit,,Iconkit,CH.ifa.draw.util,Structure
CH.ifa.draw.util.PaletteButton,abstract,PaletteButton,CH.ifa.draw.util,Structure
CH.ifa.draw.util.PaletteIcon,,PaletteIcon,CH.ifa.draw.util,Structure
CH.ifa.draw.util.PaletteLayout,,PaletteLayout,CH.ifa.draw.util,Structure
CH.ifa.draw.util.PaletteListener,interface,PaletteListener,CH.ifa.draw.util,Structure
CH.ifa.draw.util.ReverseVectorEnumerator,,ReverseVectorEnumerator,CH.ifa.draw.util,Structure
CH.ifa.draw.util.Storable,interface,Storable,CH.ifa.draw.util,Structure
CH.ifa.draw.util.StorableInput,,StorableInput,CH.ifa.draw.util,Structure
CH.ifa.draw.util.StorableOutput,,StorableOutput,CH.ifa.draw.util,Structure
