id,abstraction,role_stereotype,parent
DrawApplet,,Interfacer,CH.ifa.draw.applet
DrawApplication,,Information Holder,CH.ifa.draw.application
ChopPolygonConnector,,Service Provider,CH.ifa.draw.contrib
DiamondFigure,,Service Provider,CH.ifa.draw.contrib
PolygonFigure,,Service Provider,CH.ifa.draw.contrib
PolygonHandle,,Service Provider,CH.ifa.draw.contrib
PolygonScaleHandle,,Service Provider,CH.ifa.draw.contrib
PolygonTool,,Service Provider,CH.ifa.draw.contrib
TriangleFigure,,Service Provider,CH.ifa.draw.contrib
TriangleRotationHandle,,Service Provider,CH.ifa.draw.contrib
ArrowTip,,Service Provider,CH.ifa.draw.figures
AttributeFigure,abstract,Structurer,CH.ifa.draw.figures
BorderDecorator,,Service Provider,CH.ifa.draw.figures
BorderTool,,Service Provider,CH.ifa.draw.figures
ChopEllipseConnector,,Service Provider,CH.ifa.draw.figures
ConnectedTextTool,,Service Provider,CH.ifa.draw.figures
ElbowConnection,,Service Provider,CH.ifa.draw.figures
ElbowHandle,,Service Provider,CH.ifa.draw.figures
EllipseFigure,,Service Provider,CH.ifa.draw.figures
FigureAttributes,,Service Provider,CH.ifa.draw.figures
FontSizeHandle,,Service Provider,CH.ifa.draw.figures
GroupCommand,,Service Provider,CH.ifa.draw.figures
GroupFigure,,Service Provider,CH.ifa.draw.figures
GroupHandle,,Service Provider,CH.ifa.draw.figures
ImageFigure,,Service Provider,CH.ifa.draw.figures
InsertImageCommand,,Information Holder,CH.ifa.draw.figures
LineConnection,,Service Provider,CH.ifa.draw.figures
LineDecoration,interface,Service Provider,CH.ifa.draw.figures
LineFigure,,Information Holder,CH.ifa.draw.figures
NumberTextFigure,,Information Holder,CH.ifa.draw.figures
PolyLineConnector,,Service Provider,CH.ifa.draw.figures
PolyLineFigure,,Information Holder,CH.ifa.draw.figures
PolyLineHandle,,Service Provider,CH.ifa.draw.figures
PolyLineLocator,,Service Provider,CH.ifa.draw.figures
RadiusHandle,,Service Provider,CH.ifa.draw.figures
RectangleFigure,,Service Provider,CH.ifa.draw.figures
RoundRectangleFigure,,Information Holder,CH.ifa.draw.figures
ScribbleTool,,Service Provider,CH.ifa.draw.figures
ShortestDistanceConnector,,Service Provider,CH.ifa.draw.figures
TextFigure,,Information Holder,CH.ifa.draw.figures
TextTool,,Service Provider,CH.ifa.draw.figures
UngroupCommand,,Information Holder,CH.ifa.draw.figures
ConnectionFigure,interface,Service Provider,CH.ifa.draw.framework
Connector,interface,Service Provider,CH.ifa.draw.framework
Drawing,interface,Service Provider,CH.ifa.draw.framework
DrawingChangeEvent,,Information Holder,CH.ifa.draw.framework
DrawingChangeListener,interface,Service Provider,CH.ifa.draw.framework
DrawingEditor,interface,Service Provider,CH.ifa.draw.framework
DrawingView,interface,Service Provider,CH.ifa.draw.framework
Figure,interface,Service Provider,CH.ifa.draw.framework
FigureChangeEvent,,Information Holder,CH.ifa.draw.framework
FigureChangeListener,interface,Service Provider,CH.ifa.draw.framework
FigureEnumeration,interface,Service Provider,CH.ifa.draw.framework
FigureSelection,,Information Holder,CH.ifa.draw.framework
HJDError,,Information Holder,CH.ifa.draw.framework
Handle,interface,Information Holder,CH.ifa.draw.framework
Locator,interface,Service Provider,CH.ifa.draw.framework
Painter,interface,Service Provider,CH.ifa.draw.framework
PointConstrainer,interface,Service Provider,CH.ifa.draw.framework
Tool,interface,Service Provider,CH.ifa.draw.framework
AnimationDecorator,,Service Provider,CH.ifa.draw.samples.javadraw
Animator,,Service Provider,CH.ifa.draw.samples.javadraw
BouncingDrawing,,Service Provider,CH.ifa.draw.samples.javadraw
FollowURLTool,,Service Provider,CH.ifa.draw.samples.javadraw
JavaDrawApp,,Interfacer,CH.ifa.draw.samples.javadraw
JavaDrawApplet,,Interfacer,CH.ifa.draw.samples.javadraw
JavaDrawViewer,,Service Provider,CH.ifa.draw.samples.javadraw
MySelectionTool,,Service Provider,CH.ifa.draw.samples.javadraw
